date,difficulty,guesses,hints
Sun Feb 05 18:03:06 EST 2012,easy,0,0,
Sun Feb 05 18:39:34 EST 2012,hard,15,0,
Sun Feb 05 18:44:26 EST 2012,easy,0,0,
Sun Feb 05 21:09:20 EST 2012,easy,0,0,
Sun Feb 05 22:06:18 EST 2012,easy,0,0,
Sun Feb 05 22:07:03 EST 2012,easy,0,0,
Sun Feb 05 22:52:31 EST 2012,easy,0,0,
Sun Feb 05 23:10:31 EST 2012,easy,1,0,
Sun Feb 05 23:12:02 EST 2012,easy,1,0,
Sun Feb 05 23:12:11 EST 2012,easy,1,0,
Sun Feb 05 23:13:38 EST 2012,easy,1,0,
Sun Feb 05 23:15:17 EST 2012,easy,1,0,
Sun Feb 05 23:33:07 EST 2012,easy,0,0,
Sun Feb 05 23:40:56 EST 2012,easy,0,0,
Sun Feb 05 23:42:45 EST 2012,easy,0,0,
Sun Feb 05 23:47:39 EST 2012,easy,0,0,
Sun Feb 05 23:49:46 EST 2012,easy,0,0,
Mon Feb 06 01:09:42 EST 2012,easy,0,0,
Mon Feb 06 01:11:58 EST 2012,easy,0,0,
Mon Feb 06 01:38:57 EST 2012,easy,0,0,
Mon Feb 06 01:43:54 EST 2012,easy,0,0,
Mon Feb 06 01:45:04 EST 2012,easy,0,0,
Mon Feb 06 01:45:49 EST 2012,easy,2,0,
